Age,ShoulderWidth,Waist,Hips,TotalHeight,Size
6,25.4,53.34,25.4,93.98,S
6,22.86,50.8,22.86,96.52,S
6,22.86,53.34,25.4,99.06,S
6,10.16,50.8,27.94,93.98,S
6,12.7,50.8,25.4,91.44,S
6,35.56,55.88,27.94,93.98,S
9,33.02,63.5,30.48,127.0,S
7,22.86,55.88,30.48,129.54,S
6,22.86,50.8,25.4,93.98,S
9,27.94,50.8,22.86,93.98,S
10,35.56,60.96,33.02,127.0,S
12,35.56,53.34,27.94,129.54,S
11,33.02,55.88,27.94,127.0,S
10,33.02,50.8,25.4,139.7,S
6,35.56,55.88,25.4,91.44,S
10,48.26,33.02,25.4,109.22,S
11,48.26,30.48,30.48,109.22,S
13,50.8,30.48,27.94,119.38,S
12,48.26,30.48,27.94,116.84,S
14,50.8,33.02,33.02,121.92,S
14,48.26,30.48,27.94,124.46,S
15,48.26,27.94,25.4,116.84,S
10,48.26,33.02,27.94,109.22,S
10,45.72,30.48,30.48,109.22,S
8,45.72,30.48,22.86,106.68,S
9,48.26,33.02,25.4,109.22,S
6,22.86,53.34,55.88,99.06,S
10,35.56,63.5,68.58,71.12,S
8,33.02,55.88,60.96,109.22,S
7,33.02,63.5,60.96,104.14,S
8,33.02,58.42,60.96,111.76,S
8,33.02,58.42,63.5,111.76,S
9,33.02,60.96,63.5,119.38,S
8,33.02,66.04,63.5,116.84,S
8,27.94,30.48,60.96,111.76,S
10,35.56,66.04,71.12,121.92,S
8,30.48,58.42,58.42,111.76,S
10,33.02,68.58,66.04,119.38,S
8,27.94,58.42,66.04,121.92,S
13,35.56,68.58,71.12,137.16,S
11,33.02,58.42,58.42,132.08,S
13,35.56,68.58,71.12,137.16,S
11,33.02,63.5,66.04,129.54,S
4,25.4,50.8,50.8,96.52,S
11,35.56,60.96,63.5,114.3,S
12,38.1,66.04,71.12,111.76,S
4,25.4,50.8,50.8,96.52,S
11,33.02,58.42,58.42,132.08,S
8,35.56,66.04,27.94,121.92,S
15,35.56,71.12,58.42,137.16,S
8,22.86,53.34,55.88,99.06,S
10,33.02,68.58,66.04,119.38,S
10,35.56,58.42,27.94,116.84,S
7,33.02,63.5,60.96,111.76,S
11,30.48,63.5,68.58,109.22,S
9,25.4,25.4,30.48,114.3,S
6,22.86,27.94,33.02,104.14,S
6,25.4,22.86,30.48,109.22,S
7,25.4,25.4,35.56,109.22,S
7,25.4,27.94,27.94,109.22,S
9,25.4,22.86,27.94,114.3,S
8,25.4,25.4,35.56,106.68,S
10,30.48,27.94,35.56,129.54,S
9,25.4,30.48,33.02,116.84,S
9,27.94,25.4,35.56,121.92,S
12,30.48,30.48,33.02,124.46,S
9,25.4,30.48,33.02,111.76,S
7,27.94,30.48,27.94,111.76,S
8,25.4,25.4,27.94,109.22,S
5,22.86,25.4,30.48,99.06,S
5,22.86,27.94,25.4,99.06,S
12,20.32,15.24,22.86,88.9,S
8,22.86,27.94,35.56,111.76,S
10,30.48,27.94,43.18,106.68,S
5,20.32,27.94,38.1,114.3,S
10,27.94,30.48,33.02,121.92,S
12,25.4,30.48,63.5,119.38,S
13,27.94,35.56,35.56,132.08,S
12,25.4,27.94,35.56,116.84,S
9,27.94,30.48,27.94,116.84,S
6,25.4,25.4,25.4,96.52,S
3,20.32,17.78,33.02,81.28,S
13,30.48,33.02,38.1,129.54,S
13,35.56,30.48,38.1,129.54,S
18,35.56,66.04,27.94,121.92,S
11,35.56,58.42,33.02,83.82,S
9,33.02,55.88,27.94,116.84,S
10,30.48,60.96,60.96,124.46,S
10,35.56,58.42,27.94,116.84,S
13,35.56,68.58,71.12,137.16,S
10,30.48,60.96,60.96,124.46,S
7,33.02,63.5,60.96,111.76,S
11,33.02,63.5,66.04,129.54,S
18,35.56,66.04,27.94,121.92,S
9,33.02,55.88,27.94,116.84,S
4,25.4,50.8,50.8,96.52,S
10,35.56,58.42,68.58,121.92,S
11,33.02,58.42,68.58,96.52,M
10,35.56,63.5,27.94,116.84,S
11,33.02,63.5,66.04,129.54,S
7,33.02,45.72,60.96,111.76,S
6,22.86,58.42,53.34,99.06,S
